OTU	Status_in_Hpa_inoculated	Taxonomy
2f93552763f448f9a452c27b2db67b7a	Enriched	Sphingomonas
cf25d4a90f748550689c08313753196f	Enriched	Pseudomonas
52948b1ab2bcfee9c596942973a71e98	Enriched	Comamonadaceae
a40651859fbc083e4c97aaf60b733a63	Enriched	Acidovorax
a05de28c3dd30349891e3a367c25dbd5	Enriched	Plantibacter
47b9b5aaf3fb157cea06b791bf0c4509	Enriched	Novosphingobium
d93fb404358cbc6c5fb5c2c26f76bed6	Enriched	Aeromicrobium
08995258dcab3634cbbe385927d19c0b	Enriched	Brevundimonas
973cdc59ecf70e935e7d3fdbc87ee110	Enriched	Brevundimonas
e50dba98d4ebddb99dbb214b18862ea3	Enriched	Methylophilus
a0e1a3759ad3462a28017d94b4432ee1	Enriched	Xanthomonas
224c3c6cf14783ec1e5a0b2b6cb7eca5	Enriched	Sphingobacterium
42fbddad8a098579cf2412325c7aaaa9	Enriched	Arthrobacter
5d899896a54dd0d0747cf6260509bf39	Enriched	Sphingomonas
3a0c1321ebad1dfbd01b70a09aa6e30b	Enriched	Chryseobacterium
77da9058bac1ba7013dea202bed3a325	Enriched	Stenotrophomonas
ed6be6f35c692c6166ff8442f30ba282	Enriched	Sphingobium
