ID	Sample	Accession	Treatment	Treatment_continuous	Accession_continuous	Phenotype_2	Phenotype	Phenotype_3	Group	Replicate	Hpa
C24Cala1_000000000-BLVD4	C24Cala1	C24	Cala2	3	3	Susceptible_Neither	Resistant	Resistant	C24Cala2	1	Hpa
C24Cala2_000000000-BLVD4	C24Cala2	C24	Cala2	3	3	Susceptible_Neither	Resistant	Resistant	C24Cala2	2	Hpa
C24Cala3_000000000-BLVD4	C24Cala3	C24	Cala2	3	3	Susceptible_Neither	Resistant	Resistant	C24Cala2	3	Hpa
C24mix1_000000000-BLVD4	C24mix1	C24	Mix	4	3	Susceptible_Neither	Resistant	Resistant	C24mix	1	Hpa
C24mix2_000000000-BLVD4	C24mix2	C24	Mix	4	3	Susceptible_Neither	Resistant	Resistant	C24mix	2	Hpa
C24mix3_000000000-BLVD4	C24mix3	C24	Mix	4	3	Susceptible_Neither	Resistant	Resistant	C24mix	3	Hpa
C24mix4_000000000-BLVD4	C24mix4	C24	Mix	4	3	Susceptible_Neither	Resistant	Resistant	C24mix	4	Hpa
C24mock1_000000000-BLVD4	C24mock1	C24	Mock	1	3	Susceptible_Neither	NA	NA	C24mock	1	Mock
C24mock2_000000000-BLVD4	C24mock2	C24	Mock	1	3	Susceptible_Neither	NA	NA	C24mock	2	Mock
C24mock3_000000000-BLVD4	C24mock3	C24	Mock	1	3	Susceptible_Neither	NA	NA	C24mock	3	Mock
C24mock4_000000000-BLVD4	C24mock4	C24	Mock	1	3	Susceptible_Neither	NA	NA	C24mock	4	Mock
C24Noco1_000000000-BLVD4	C24Noco1	C24	Noco2	2	3	Susceptible_Neither	Resistant	Resistant	C24Noco2	1	Hpa
C24Noco2_000000000-BLVD4	C24Noco2	C24	Noco2	2	3	Susceptible_Neither	Resistant	Resistant	C24Noco2	2	Hpa
C24Noco3_000000000-BLVD4	C24Noco3	C24	Noco2	2	3	Susceptible_Neither	Resistant	Resistant	C24Noco2	3	Hpa
ColCala1_000000000-BLVD4	ColCala1	Col-0	Cala2	3	1	Susceptible_Noco2	Resistant	Resistant	Col-0Cala2	1	Hpa
