#_Constructed_from_biom_file																																																
#OTU_ID	CC-1_000000000-C9YP3	CC-2_000000000-C9YP3	CC-3_000000000-C9YP3	CC-5_000000000-C9YP3	CC-6_000000000-C9YP3	CC-7_000000000-C9YP3	CC-8_000000000-C9YP3	CM-1_000000000-C9YP3	CM-2_000000000-C9YP3	CM-3_000000000-C9YP3	CM-4_000000000-C9YP3	CM-5_000000000-C9YP3	CM-6_000000000-C9YP3	CM-7_000000000-C9YP3	CM-8_000000000-C9YP3	CN-1_000000000-C9YP3	CN-2_000000000-C9YP3	CN-3_000000000-C9YP3	CN-4_000000000-C9YP3	CN-5_000000000-C9YP3	CN-6_000000000-C9YP3	CN-7_000000000-C9YP3	CN-8_000000000-C9YP3	LC-1_000000000-C9YP3	LC-2_000000000-C9YP3	LC-3_000000000-C9YP3	LC-4_000000000-C9YP3	LC-5_000000000-C9YP3	LC-6_000000000-C9YP3	LC-7_000000000-C9YP3	LC-8_000000000-C9YP3	LM-1_000000000-C9YP3	LM-2_000000000-C9YP3	LM-3_000000000-C9YP3	LM-4_000000000-C9YP3	LM-5_000000000-C9YP3	LM-6_000000000-C9YP3	LM-7_000000000-C9YP3	LM-8_000000000-C9YP3	LN-1_000000000-C9YP3	LN-2_000000000-C9YP3	LN-3_000000000-C9YP3	LN-4_000000000-C9YP3	LN-5_000000000-C9YP3	LN-6_000000000-C9YP3	LN-7_000000000-C9YP3	LN-8_000000000-C9YP3	taxonomy
014f6bfc1666f4806ee3b0f1192c8493	0	0	0	0	0	0	0	0	63	37	0	50	0	12	59	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	19	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
028e779d5102492531cf4cf86a1e60a8	9	0	0	0	0	90	0	0	58	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	15	4	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
02ba9c20d8b1fad7c5ba9719b86e75e0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia
0313f80177e0ec4d1ae5807ba5976e80	73	0	0	0	0	0	0	0	0	26	0	8	57	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	4	0	14	0	0	0	0	26	0	0	0	8	9	13	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae
0357b498609a1c0eaeabae70471c3d47	0	0	0	0	0	25	0	98	114	245	47	173	94	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	50	78	11	91	0	40	0	0	0	0	19	29	21	0	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Cohnella
038e5aba03715fecec6d93dafba9da2a	0	0	0	0	0	0	0	0	113	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	18	0	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
045997cea994c2a0a5f349ce4a47b97c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	133	79	66	229	68	43	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	167	206	55	249	197	271	337	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae
0551945afefa013b0300c8282826ca1e	0	0	0	0	0	0	0	0	5	5772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Niastella;uncultured_bacterium
0552bf3e715d9d8f534ed70a5564b541	38	14	6	0	194	86	22	58	289	39	0	93	56	76	87	15	0	3	0	0	0	87	0	0	0	0	0	0	0	10	0	17	25	31	0	0	66	0	55	0	0	0	0	8	0	0	22	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
066c4ad6fb6fdc8c301cea326879cbbe	3408	1219	1836	2080	1944	1306	2467	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	1558	1151	1464	558	1022	380	1797	866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
068fe1c2d73f1fff8d35547c1f82b0a9	167	33	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	46	43	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Prosthecobacter;uncultured_bacterium
06cb2a78bca704f0f37e55e804afee60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	74	58	195	153	100	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	109	171	43	228	521	160	324	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
0795a7c45ca4e69d27bc8e7c9b024ff4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	113	62	0	144	115	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	161	272	0	284	230	221	310	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter
0883463304c7344e514cd793137950b4	0	0	0	0	0	0	0	0	0	118	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	36	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
0907630c9687032d4d09a53a1761c8f7	417	154	283	247	189	252	431	0	0	0	0	0	0	0	0	165	371	229	150	891	439	263	493	334	312	262	146	324	100	364	178	0	0	0	0	0	0	0	0	243	266	279	83	378	418	315	447	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium
0a0e2f6f28c58ea0627b90e688515a6d	0	0	0	0	0	0	0	0	76	0	0	0	0	6	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	29	0	0	10	0	6	0	10	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
