SampleID	Arthrobacter	Xanthomonas	Comamonadaceae	Sphingobium	Sample	Accession	Treatment	Accession_Treatment	Interaction	Location
ColCala1_000000000-BLVD4	4.26514826	4.195315857	3.792436614	0.972281908	ColCala1	Col-0	Cala2	Col-0_Cala2	Incompatible	UU
ColCala2_000000000-BLVD4	3.75960483	4.23298573	3.368551043	1.358397366	ColCala2	Col-0	Cala2	Col-0_Cala2	Incompatible	UU
ColCala3_000000000-BLVD4	5.498044628	15.43593283	5.889118933	1.242236025	ColCala3	Col-0	Cala2	Col-0_Cala2	Incompatible	UU
ColCala4_000000000-BLVD4	5.32480315	7.604986877	5.990813648	1.466535433	ColCala4	Col-0	Cala2	Col-0_Cala2	Incompatible	UU
Colmock1_000000000-BLVD4	0	0.041466097	0	0.609371338	Colmock1	Col-0	Mock	Col-0_Mock	NA	UU
Colmock2_000000000-BLVD4	0	0.053905297	0	0	Colmock2	Col-0	Mock	Col-0_Mock	NA	UU
Colmock3_000000000-BLVD4	0.077989895	0.048602398	0.041820668	0	Colmock3	Col-0	Mock	Col-0_Mock	NA	UU
Colmock4_000000000-BLVD4	0	0.096223939	0	0.781455023	Colmock4	Col-0	Mock	Col-0_Mock	NA	UU
ColNoco1_000000000-BLVD4	4.144208887	3.701042041	3.209965265	0.87435621	ColNoco1	Col-0	Noco2	Col-0_Noco2	Compatible	UU
ColNoco2_000000000-BLVD4	1.685703758	3.030582167	2.883198231	0.497420781	ColNoco2	Col-0	Noco2	Col-0_Noco2	Compatible	UU
ColNoco3_000000000-BLVD4	1.88684746	5.317108156	8.147962426	0.721270182	ColNoco3	Col-0	Noco2	Col-0_Noco2	Compatible	UU
ColNoco4_000000000-BLVD4	2.454169131	3.1933767	3.991720875	1.153163808	ColNoco4	Col-0	Noco2	Col-0_Noco2	Compatible	UU
LerCala1_000000000-BLVD4	4.927451553	8.978478917	4.359398838	1.343850424	LerCala1	Ler	Cala2	Ler_Cala2	Compatible	UU
LerCala2_000000000-BLVD4	3.767764197	4.459325107	3.237031405	0.846540733	LerCala2	Ler	Cala2	Ler_Cala2	Compatible	UU
LerCala3_000000000-BLVD4	6.502163115	10.94536132	6.3018747	1.103989745	LerCala3	Ler	Cala2	Ler_Cala2	Compatible	UU
LerCala4_000000000-BLVD4	5.226337128	10.44255776	5.543839443	0.909706388	LerCala4	Ler	Cala2	Ler_Cala2	Compatible	UU
lermock1_000000000-BLVD4	0	0.320803277	0.056185885	0	lermock1	Ler	Mock	Ler_Mock	NA	UU
lermock2_000000000-BLVD4	0	0	0	0.010208422	lermock2	Ler	Mock	Ler_Mock	NA	UU
lermock3_000000000-BLVD4	0.031830661	0.111407313	0.057693073	0.021883579	lermock3	Ler	Mock	Ler_Mock	NA	UU
lermock4_000000000-BLVD4	0	0.143050745	0	0	lermock4	Ler	Mock	Ler_Mock	NA	UU
LerNoco1_000000000-BLVD4	2.347642393	8.180876081	4.499980071	0.69353103	LerNoco1	Ler	Noco2	Ler_Noco2	Incompatible	UU
LerNoco2_000000000-BLVD4	2.621828314	7.474211525	3.27246858	0.976701447	LerNoco2	Ler	Noco2	Ler_Noco2	Incompatible	UU
LerNoco3_000000000-BLVD4	6.713077718	9.173382813	5.65218623	0.93199813	LerNoco3	Ler	Noco2	Ler_Noco2	Incompatible	UU
