OTU	Observed_in	Observed_in_2	Observed_in_3
42fbddad8a098579cf2412325c7aaaa9	Both_locations	min3	All
a0e1a3759ad3462a28017d94b4432ee1	Both_locations	min3	All
a40651859fbc083e4c97aaf60b733a63	Both_locations	min3	All
ed6be6f35c692c6166ff8442f30ba282	Both_locations	min3	All
efbd034a138d9831af387259f9904dcf	Both_locations	min2	min2
e9b0959ee561652137c358df14c0e763	Both_locations	min2	min2
f2a1b43875772d62233c6d85a595d843	Both_locations	min2	min2
383279f128f7d4d3c877b05ac005c518	Both_locations	min2	min2
3c69931f3a4f73948ab67a1249678525	Both_locations	min2	min2
419363d6c01e0530014c2969b7098bbe	Both_locations	min2	min2
7ef342d97a469edd5979b788b95a44e6	Both_locations	min2	min2
af9ad978b21793a61cd6eec770c10649	Both_locations	min2	min2
eb22905b6f4f9e46d68e84d518d6dc05	Both_locations	min2	min2
0d15c22da9942dd74d8e06e3b3dcbb3c	MPIPZ	min2	min2
235c42b49271bd7268fcad55de33b53e	MPIPZ	min2	min2
5d7e3773d4933948bf126934d1c41efa	MPIPZ	min2	min2
628cc399573d5e8fd0ca6287aa370175	MPIPZ	min2	min2
a10fc986a55c179ab9de4692610f7f68	MPIPZ	min2	min2
aec8d6df5e39dbae9750799f1e2678f1	MPIPZ	min2	min2
c23f5ba0aada53d108f71926815fb4f4	MPIPZ	min2	min2
d0c4a44b8ca7ef41148be9cc781a097f	MPIPZ	min2	min2
d40f893612da6f28aa401164add7051e	MPIPZ	min2	min2
d541697fde83d4d4dd314b6b5596f0b1	MPIPZ	min2	min2
db05cb9805e7078efe4ed46d1ab9e8af	MPIPZ	min2	min2
2cb96b650bbff922328d4fc02f0767c5	MPIPZ	min2	min2
0907630c9687032d4d09a53a1761c8f7	MPIPZ	min2	min2
18a9493174a87b8ddfa73655faa37a88	MPIPZ	min2	min2
1919e10bb7fe8700ae16e09e536adc7c	MPIPZ	min2	min2
29b65658a6bdb840ec8d056be8953f61	MPIPZ	min2	min2
52d6fae91fe613402b5eb064db422d2a	MPIPZ	min2	min2
63b419d0681cb1e6cc85e5a30570d5e6	MPIPZ	min2	min2
78c93dc2877bbb6423314c4012908222	MPIPZ	min2	min2
a442e49938dd3fbe8cab8890a83d743b	MPIPZ	min2	min2
af190b852cec0d6eb78c15eb0e8777e0	MPIPZ	min2	min2
c41af3ba7aeabdb1886cf01eddb79139	MPIPZ	min2	min2
c64d0b194420756c348758b5e64f855e	MPIPZ	min2	min2
ce02922c0724b0b420666893c07e3071	MPIPZ	min2	min2
deaf8029eba24ec9cfc9f77e9689423e	MPIPZ	min2	min2
f80125baf07e60239d3e8e462f7edaf8	MPIPZ	min2	min2
f981440f1fbc382d512a8ba283a920a8	MPIPZ	min2	min2
81f5cf6e61e4c52f327dd829e49bfc40	MPIPZ	min2	min2
a05de28c3dd30349891e3a367c25dbd5	UU	min2	min2
d93fb404358cbc6c5fb5c2c26f76bed6	UU	min2	min2
224c3c6cf14783ec1e5a0b2b6cb7eca5	UU	min2	min2
3a0c1321ebad1dfbd01b70a09aa6e30b	UU	min2	min2
08995258dcab3634cbbe385927d19c0b	UU	min2	min2
2f93552763f448f9a452c27b2db67b7a	UU	min2	min2
52948b1ab2bcfee9c596942973a71e98	UU	min2	min2
5d899896a54dd0d0747cf6260509bf39	UU	min2	min2
77da9058bac1ba7013dea202bed3a325	UU	min2	min2
973cdc59ecf70e935e7d3fdbc87ee110	UU	min2	min2
cf25d4a90f748550689c08313753196f	UU	min2	min2
95a529b86d88a6107aee969a0900df7e	Both_locations	min3	min3
ef66dad7b163c5f07b4db66e1720b455	Both_locations	min3	min3
47b9b5aaf3fb157cea06b791bf0c4509	Both_locations	min3	min3
819286959c7d21780818a60b9f3e3481	Both_locations	min3	min3
e50dba98d4ebddb99dbb214b18862ea3	Both_locations	min3	min3
