ID	Sample	Accession	Treatment	Accession_Treatment	Location
C24Cala1_000000000-BLVD4	C24Cala1	C24	Cala2	C24_Cala2	UU
C24Cala2_000000000-BLVD4	C24Cala2	C24	Cala2	C24_Cala2	UU
C24Cala3_000000000-BLVD4	C24Cala3	C24	Cala2	C24_Cala2	UU
C24mix1_000000000-BLVD4	C24mix1	C24	Mix	C24_Mix	UU
C24mix2_000000000-BLVD4	C24mix2	C24	Mix	C24_Mix	UU
C24mix3_000000000-BLVD4	C24mix3	C24	Mix	C24_Mix	UU
C24mix4_000000000-BLVD4	C24mix4	C24	Mix	C24_Mix	UU
C24mock1_000000000-BLVD4	C24mock1	C24	Mock	C24_Mock	UU
C24mock2_000000000-BLVD4	C24mock2	C24	Mock	C24_Mock	UU
C24mock4_000000000-BLVD4	C24mock4	C24	Mock	C24_Mock	UU
C24Noco1_000000000-BLVD4	C24Noco1	C24	Noco2	C24_Noco2	UU
C24Noco2_000000000-BLVD4	C24Noco2	C24	Noco2	C24_Noco2	UU
C24Noco3_000000000-BLVD4	C24Noco3	C24	Noco2	C24_Noco2	UU
ColCala1_000000000-BLVD4	ColCala1	Col-0	Cala2	Col-0_Cala2	UU
ColCala2_000000000-BLVD4	ColCala2	Col-0	Cala2	Col-0_Cala2	UU
ColCala3_000000000-BLVD4	ColCala3	Col-0	Cala2	Col-0_Cala2	UU
ColCala4_000000000-BLVD4	ColCala4	Col-0	Cala2	Col-0_Cala2	UU
Colmix1_000000000-BLVD4	Colmix1	Col-0	Mix	Col-0_Mix	UU
Colmix2_000000000-BLVD4	Colmix2	Col-0	Mix	Col-0_Mix	UU
Colmix3_000000000-BLVD4	Colmix3	Col-0	Mix	Col-0_Mix	UU
Colmix4_000000000-BLVD4	Colmix4	Col-0	Mix	Col-0_Mix	UU
Colmock1_000000000-BLVD4	Colmock1	Col-0	Mock	Col-0_Mock	UU
Colmock2_000000000-BLVD4	Colmock2	Col-0	Mock	Col-0_Mock	UU
Colmock3_000000000-BLVD4	Colmock3	Col-0	Mock	Col-0_Mock	UU
Colmock4_000000000-BLVD4	Colmock4	Col-0	Mock	Col-0_Mock	UU
ColNoco1_000000000-BLVD4	ColNoco1	Col-0	Noco2	Col-0_Noco2	UU
ColNoco2_000000000-BLVD4	ColNoco2	Col-0	Noco2	Col-0_Noco2	UU
ColNoco3_000000000-BLVD4	ColNoco3	Col-0	Noco2	Col-0_Noco2	UU
ColNoco4_000000000-BLVD4	ColNoco4	Col-0	Noco2	Col-0_Noco2	UU
LerCala1_000000000-BLVD4	LerCala1	Ler	Cala2	Ler_Cala2	UU
LerCala2_000000000-BLVD4	LerCala2	Ler	Cala2	Ler_Cala2	UU
LerCala3_000000000-BLVD4	LerCala3	Ler	Cala2	Ler_Cala2	UU
LerCala4_000000000-BLVD4	LerCala4	Ler	Cala2	Ler_Cala2	UU
Lermix1_000000000-BLVD4	Lermix1	Ler	Mix	Ler_Mix	UU
