Sample-ID	Sample	Generation	Treatment	original_Line	Line	Group_Line	Generation_Treatment	Hpa_presence	Inoculated
C-G1-1_000000000-CML7C	C-G1-1	G1	Cala2	1	1	Cala2_1	G1_Cala2	Yes	Yes
C-G1-10_000000000-CML7C	C-G1-10	G1	Cala2	10	2	Cala2_2	G1_Cala2	Yes	Yes
C-G1-11_000000000-CML7C	C-G1-11	G1	Cala2	11	3	Cala2_3	G1_Cala2	Yes	Yes
C-G1-12_000000000-CML7C	C-G1-12	G1	Cala2	12	4	Cala2_4	G1_Cala2	Yes	Yes
C-G1-3_000000000-CML7C	C-G1-3	G1	Cala2	3	5	Cala2_5	G1_Cala2	Yes	Yes
C-G1-5_000000000-CML7C	C-G1-5	G1	Cala2	5	6	Cala2_6	G1_Cala2	Yes	Yes
C-G1-7_000000000-CML7C	C-G1-7	G1	Cala2	7	7	Cala2_7	G1_Cala2	Yes	Yes
C-G1-8_000000000-CML7C	C-G1-8	G1	Cala2	8	8	Cala2_8	G1_Cala2	Yes	Yes
C-G5-1_000000000-CML7C	C-G5-1	G5	Cala2	1	1	Cala2_1	G5_Cala2	Yes	Yes
C-G5-10_000000000-CML7C	C-G5-10	G5	Cala2	10	2	Cala2_2	G5_Cala2	Yes	Yes
C-G5-11_000000000-CML7C	C-G5-11	G5	Cala2	11	3	Cala2_3	G5_Cala2	Yes	Yes
C-G5-12_000000000-CML7C	C-G5-12	G5	Cala2	12	4	Cala2_4	G5_Cala2	Yes	Yes
C-G5-3_000000000-CML7C	C-G5-3	G5	Cala2	3	5	Cala2_5	G5_Cala2	Yes	Yes
C-G5-5_000000000-CML7C	C-G5-5	G5	Cala2	5	6	Cala2_6	G5_Cala2	Yes	Yes
C-G5-7_000000000-CML7C	C-G5-7	G5	Cala2	7	7	Cala2_7	G5_Cala2	Yes	Yes
C-G5-8_000000000-CML7C	C-G5-8	G5	Cala2	8	8	Cala2_8	G5_Cala2	Yes	Yes
C-G9-1_000000000-CML7C	C-G9-1	G9	Cala2	1	1	Cala2_1	G9_Cala2	Yes	Yes
C-G9-10_000000000-CML7C	C-G9-10	G9	Cala2	10	2	Cala2_2	G9_Cala2	Yes	Yes
C-G9-11_000000000-CML7C	C-G9-11	G9	Cala2	11	3	Cala2_3	G9_Cala2	Yes	Yes
C-G9-12_000000000-CML7C	C-G9-12	G9	Cala2	12	4	Cala2_4	G9_Cala2	Yes	Yes
C-G9-3_000000000-CML7C	C-G9-3	G9	Cala2	3	5	Cala2_5	G9_Cala2	Yes	Yes
C-G9-5_000000000-CML7C	C-G9-5	G9	Cala2	5	6	Cala2_6	G9_Cala2	Yes	Yes
C-G9-7_000000000-CML7C	C-G9-7	G9	Cala2	7	7	Cala2_7	G9_Cala2	Yes	Yes
C-G9-8_000000000-CML7C	C-G9-8	G9	Cala2	8	8	Cala2_8	G9_Cala2	Yes	Yes
N-G1-10_000000000-CML7C	N-G1-10	G1	Noco2	10	1	Noco2_1	G1_Noco2	Yes	Yes
N-G1-11_000000000-CML7C	N-G1-11	G1	Noco2	11	2	Noco2_2	G1_Noco2	Yes	Yes
N-G1-12_000000000-CML7C	N-G1-12	G1	Noco2	12	3	Noco2_3	G1_Noco2	Yes	Yes
N-G1-2_000000000-CML7C	N-G1-2	G1	Noco2	2	4	Noco2_4	G1_Noco2	Yes	Yes
N-G1-3_000000000-CML7C	N-G1-3	G1	Noco2	3	5	Noco2_5	G1_Noco2	Yes	Yes
N-G1-7_000000000-CML7C	N-G1-7	G1	Noco2	7	6	Noco2_6	G1_Noco2	Yes	Yes
N-G1-8_000000000-CML7C	N-G1-8	G1	Noco2	8	7	Noco2_7	G1_Noco2	Yes	Yes
N-G1-9_000000000-CML7C	N-G1-9	G1	Noco2	9	8	Noco2_8	G1_Noco2	Yes	Yes
N-G5-10_000000000-CML7C	N-G5-10	G5	Noco2	10	1	Noco2_1	G5_Noco2	Yes	Yes
N-G5-11_000000000-CML7C	N-G5-11	G5	Noco2	11	2	Noco2_2	G5_Noco2	Yes	Yes
N-G5-12_000000000-CML7C	N-G5-12	G5	Noco2	12	3	Noco2_3	G5_Noco2	Yes	Yes
N-G5-2_000000000-CML7C	N-G5-2	G5	Noco2	2	4	Noco2_4	G5_Noco2	Yes	Yes
N-G5-3_000000000-CML7C	N-G5-3	G5	Noco2	3	5	Noco2_5	G5_Noco2	Yes	Yes
N-G5-7_000000000-CML7C	N-G5-7	G5	Noco2	7	6	Noco2_6	G5_Noco2	Yes	Yes
N-G5-8_000000000-CML7C	N-G5-8	G5	Noco2	8	7	Noco2_7	G5_Noco2	Yes	Yes
N-G5-9_000000000-CML7C	N-G5-9	G5	Noco2	9	8	Noco2_8	G5_Noco2	Yes	Yes
N-G9-10_000000000-CML7C	N-G9-10	G9	Noco2	10	1	Noco2_1	G9_Noco2	Yes	Yes
N-G9-11_000000000-CML7C	N-G9-11	G9	Noco2	11	2	Noco2_2	G9_Noco2	Yes	Yes
N-G9-12_000000000-CML7C	N-G9-12	G9	Noco2	12	3	Noco2_3	G9_Noco2	Yes	Yes
N-G9-2_000000000-CML7C	N-G9-2	G9	Noco2	2	4	Noco2_4	G9_Noco2	Yes	Yes
N-G9-3_000000000-CML7C	N-G9-3	G9	Noco2	3	5	Noco2_5	G9_Noco2	Yes	Yes
N-G9-7_000000000-CML7C	N-G9-7	G9	Noco2	7	6	Noco2_6	G9_Noco2	Yes	Yes
N-G9-8_000000000-CML7C	N-G9-8	G9	Noco2	8	7	Noco2_7	G9_Noco2	Yes	Yes
N-G9-9_000000000-CML7C	N-G9-9	G9	Noco2	9	8	Noco2_8	G9_Noco2	Yes	Yes
R-G1-1_000000000-CML7C	R-G1-1	G1	Hpa-free	1	1	No_Hpa_1	G1_No_Hpa	No	Yes
R-G1-2_000000000-CML7C	R-G1-2	G1	Hpa-free	2	2	No_Hpa_2	G1_No_Hpa	No	Yes
R-G1-3_000000000-CML7C	R-G1-3	G1	Hpa-free	3	3	No_Hpa_3	G1_No_Hpa	No	Yes
R-G1-4_000000000-CML7C	R-G1-4	G1	Hpa-free	4	4	No_Hpa_4	G1_No_Hpa	No	Yes
R-G1-5_000000000-CML7C	R-G1-5	G1	Hpa-free	5	5	No_Hpa_5	G1_No_Hpa	No	Yes
R-G1-6_000000000-CML7C	R-G1-6	G1	Hpa-free	6	6	No_Hpa_6	G1_No_Hpa	No	Yes
R-G1-7_000000000-CML7C	R-G1-7	G1	Hpa-free	7	7	No_Hpa_7	G1_No_Hpa	No	Yes
R-G1-8_000000000-CML7C	R-G1-8	G1	Hpa-free	8	8	No_Hpa_8	G1_No_Hpa	No	Yes
R-G5-1_000000000-CML7C	R-G5-1	G5	Hpa-free	1	1	No_Hpa_1	G5_No_Hpa	No	Yes
R-G5-2_000000000-CML7C	R-G5-2	G5	Hpa-free	2	2	No_Hpa_2	G5_No_Hpa	No	Yes
R-G5-3_000000000-CML7C	R-G5-3	G5	Hpa-free	3	3	No_Hpa_3	G5_No_Hpa	No	Yes
R-G5-4_000000000-CML7C	R-G5-4	G5	Hpa-free	4	4	No_Hpa_4	G5_No_Hpa	No	Yes
R-G5-5_000000000-CML7C	R-G5-5	G5	Hpa-free	5	5	No_Hpa_5	G5_No_Hpa	No	Yes
R-G5-6_000000000-CML7C	R-G5-6	G5	Hpa-free	6	6	No_Hpa_6	G5_No_Hpa	No	Yes
R-G5-7_000000000-CML7C	R-G5-7	G5	Hpa-free	7	7	No_Hpa_7	G5_No_Hpa	No	Yes
R-G5-8_000000000-CML7C	R-G5-8	G5	Hpa-free	8	8	No_Hpa_8	G5_No_Hpa	No	Yes
R-G9-1_000000000-CML7C	R-G9-1	G9	Hpa-free	1	1	No_Hpa_1	G9_No_Hpa	No	Yes
R-G9-2_000000000-CML7C	R-G9-2	G9	Hpa-free	2	2	No_Hpa_2	G9_No_Hpa	No	Yes
R-G9-3_000000000-CML7C	R-G9-3	G9	Hpa-free	3	3	No_Hpa_3	G9_No_Hpa	No	Yes
R-G9-4_000000000-CML7C	R-G9-4	G9	Hpa-free	4	4	No_Hpa_4	G9_No_Hpa	No	Yes
R-G9-5_000000000-CML7C	R-G9-5	G9	Hpa-free	5	5	No_Hpa_5	G9_No_Hpa	No	Yes
R-G9-6_000000000-CML7C	R-G9-6	G9	Hpa-free	6	6	No_Hpa_6	G9_No_Hpa	No	Yes
R-G9-7_000000000-CML7C	R-G9-7	G9	Hpa-free	7	7	No_Hpa_7	G9_No_Hpa	No	Yes
R-G9-8_000000000-CML7C	R-G9-8	G9	Hpa-free	8	8	No_Hpa_8	G9_No_Hpa	No	Yes
U-G1-1_000000000-CML7C	U-G1-1	G1	Untreated	1	1	Untreated_1	G1_Untreated	No	No
U-G1-2_000000000-CML7C	U-G1-2	G1	Untreated	2	2	Untreated_2	G1_Untreated	No	No
U-G1-3_000000000-CML7C	U-G1-3	G1	Untreated	3	3	Untreated_3	G1_Untreated	No	No
U-G1-4_000000000-CML7C	U-G1-4	G1	Untreated	4	4	Untreated_4	G1_Untreated	No	No
U-G1-5_000000000-CML7C	U-G1-5	G1	Untreated	5	5	Untreated_5	G1_Untreated	No	No
U-G1-6_000000000-CML7C	U-G1-6	G1	Untreated	6	6	Untreated_6	G1_Untreated	No	No
U-G1-7_000000000-CML7C	U-G1-7	G1	Untreated	7	7	Untreated_7	G1_Untreated	No	No
U-G1-8_000000000-CML7C	U-G1-8	G1	Untreated	8	8	Untreated_8	G1_Untreated	No	No
U-G5-1_000000000-CML7C	U-G5-1	G5	Untreated	1	1	Untreated_1	G5_Untreated	No	No
U-G5-2_000000000-CML7C	U-G5-2	G5	Untreated	2	2	Untreated_2	G5_Untreated	No	No
U-G5-3_000000000-CML7C	U-G5-3	G5	Untreated	3	3	Untreated_3	G5_Untreated	No	No
U-G5-4_000000000-CML7C	U-G5-4	G5	Untreated	4	4	Untreated_4	G5_Untreated	No	No
U-G5-5_000000000-CML7C	U-G5-5	G5	Untreated	5	5	Untreated_5	G5_Untreated	No	No
U-G5-6_000000000-CML7C	U-G5-6	G5	Untreated	6	6	Untreated_6	G5_Untreated	No	No
U-G5-7_000000000-CML7C	U-G5-7	G5	Untreated	7	7	Untreated_7	G5_Untreated	No	No
U-G5-8_000000000-CML7C	U-G5-8	G5	Untreated	8	8	Untreated_8	G5_Untreated	No	No
U-G9-1_000000000-CML7C	U-G9-1	G9	Untreated	1	1	Untreated_1	G9_Untreated	No	No
U-G9-2_000000000-CML7C	U-G9-2	G9	Untreated	2	2	Untreated_2	G9_Untreated	No	No
U-G9-3_000000000-CML7C	U-G9-3	G9	Untreated	3	3	Untreated_3	G9_Untreated	No	No
U-G9-4_000000000-CML7C	U-G9-4	G9	Untreated	4	4	Untreated_4	G9_Untreated	No	No
U-G9-5_000000000-CML7C	U-G9-5	G9	Untreated	5	5	Untreated_5	G9_Untreated	No	No
U-G9-6_000000000-CML7C	U-G9-6	G9	Untreated	6	6	Untreated_6	G9_Untreated	No	No
U-G9-7_000000000-CML7C	U-G9-7	G9	Untreated	7	7	Untreated_7	G9_Untreated	No	No
U-G9-8_000000000-CML7C	U-G9-8	G9	Untreated	8	8	Untreated_8	G9_Untreated	No	No
