OTU	Direction_2	Direction
31c5d6d689fe24ec7157fa1c0783fbd4	Enriched	Enriched
95a529b86d88a6107aee969a0900df7e	Enriched	Enriched
27674392fce5ef7ef32f30e810a0a7c2	Enriched	Enriched
cc141890f0c2cd9ce45e1ef255a92a05	Enriched	Enriched
15da8b3417459a1a66342300e6968701	Enriched	Enriched
649c8b8d580e225a6282ad485178b6b8	Enriched	Enriched
f0c7648ba19e0e246a6fbc8fd575ab93	Enriched	Enriched
57b1624fb8fa7f753961385792b49ba1	Enriched	Enriched
9cce057c75c4bf8792364e8776ec3161	Enriched	Enriched
7e537c12b9af4d0e06d9c229f25d2176	Enriched	Enriched
be5f7561425c2fdf15e1347047e3a7ba	Enriched	Enriched
d93fb404358cbc6c5fb5c2c26f76bed6	Enriched	Enriched
18a9493174a87b8ddfa73655faa37a88	Enriched	Enriched
4e248ecf1bc742964ad36d58dc1643e6	Enriched	Enriched
2569b4c4cad75aecc852532bc6bd3c10	Rhizobium	Enriched
deaf8029eba24ec9cfc9f77e9689423e	Enriched	Enriched
fb1944c973cbfd41e00cf593920c788d	Enriched	Enriched
a0e1a3759ad3462a28017d94b4432ee1	Xanthomonas	Enriched
e64afb2ca7d2f51d117d7f8cb6fe5e7c	Depleted	Depleted
819286959c7d21780818a60b9f3e3481	Depleted	Depleted
7bae764266c9fa3aa36b95ed1643b550	Depleted	Depleted
6ef37d5e731cdd976b90ac058b7c0492	Depleted	Depleted
1919e10bb7fe8700ae16e09e536adc7c	Depleted	Depleted
3fa9470e4f41b6f34c5fc5d2a588af89	Depleted	Depleted
5639089d02ce076046253e2233a57d7c	Depleted	Depleted
