OTU	Status	Taxonomy
0795a7c45ca4e69d27bc8e7c9b024ff4	Enriched	"Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter"
7451e5462fffb9e76929cb283c5fe67f	Enriched	"Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium"
aec8d6df5e39dbae9750799f1e2678f1	Enriched	"Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium"
1310062456221f49ac8bdba34704407f	Enriched	"Bacteria;Saccharibacteria;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium"
484fb7f4e7aafa0edc5ce9d38ea48494	Enriched	"Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium"
27674392fce5ef7ef32f30e810a0a7c2	Enriched	"Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;Ambiguous_taxa"
2f93552763f448f9a452c27b2db67b7a	Enriched	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas"
f56f2daa30017bf24e96907c898eb883	Enriched	"Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;Ambiguous_taxa"
d541697fde83d4d4dd314b6b5596f0b1	Enriched	"Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium"
72fb52c644798ec36f53bab2208cb607	Enriched	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas"
1da8b9b25b519a62f036982f9d4d6801	Enriched	"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae"
e50dba98d4ebddb99dbb214b18862ea3	Enriched	"Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylophilus"
ef66dad7b163c5f07b4db66e1720b455	Enriched	"Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium"
983fc02607828c0133e7f4e5955d428c	Enriched	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas"
eababa30ab4bf85e4636a00f79e08e07	Enriched	"Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Dyadobacter;uncultured_bacterium"
3a0c1321ebad1dfbd01b70a09aa6e30b	Enriched	"Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium"
e9b0959ee561652137c358df14c0e763	Enriched	"Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter"
aca76127cbd93d9babe2b188f74d1388	Enriched	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium"
eb22905b6f4f9e46d68e84d518d6dc05	Enriched	"Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"
d93fb404358cbc6c5fb5c2c26f76bed6	Enriched	"Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium"
577981f42ddea197ba23252f1e8d2951	Enriched	"Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter"
ed0f1a72dc64421baba1c9e2ac38cb46	Enriched	"Bacteria;Saccharibacteria;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium"
b8f0fcec34fcb569496da3b0345f78c2	Enriched	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Alkanindiges"
18a9493174a87b8ddfa73655faa37a88	Enriched	"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas"
5d7e3773d4933948bf126934d1c41efa	Enriched	"Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium"
a0e1a3759ad3462a28017d94b4432ee1	Enriched	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas"
3c69931f3a4f73948ab67a1249678525	Enriched	"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Ambiguous_taxa"
77da9058bac1ba7013dea202bed3a325	Enriched	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas"
9f6d2500fd55977ec94ebc86c21e5e22	Enriched	"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"
efbd034a138d9831af387259f9904dcf	Enriched	"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces"
f6bf584c4081d96e0ad688a16a806432	Enriched	"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax"
d0c4a44b8ca7ef41148be9cc781a097f	Enriched	"Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium"
9cce057c75c4bf8792364e8776ec3161	Enriched	"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"
