ID	Sample	Treatment	Generation	Treatment_generation_1	Treatment_generation_2	Sample_Type	DNA_concentration	post_cutadapt	Hpa	Hpa_factor	Legacy	Legacy_strict	GnoHpa
F-B-G2	F-B-G2	Blank	Generation_2	NA	NA	Filter	14.7	201019	0	Other	0	0	0
F-Blank	F-Blank	Blank	Generation_1	NA	NA	Filter	14.9	31794	0	Other	0	0	0
F-G-G2	F-G-G2	GnoHpa	Generation_2	NA	NA	Filter	14.1	170395	0	Other	0	0	0
F-Gnoto	F-Gnoto	GnoHpa	Generation_1	NA	NA	Filter	15.9	42093	0	Other	0	0	0
F-M-G2	F-M-G2	Mock	Generation_2	NA	NA	Filter	14.1	111080	0	Other	0	0	0
F-Mock	F-Mock	Mock	Generation_1	NA	NA	Filter	18.6	97944	0	Other	0	0	0
F-N-G2	F-N-G2	Hpa	Generation_2	NA	NA	Filter	13.7	218398	1	Hpa	0	0	0
F-Noco	F-Noco	Hpa	Generation_1	NA	NA	Filter	21.7	149193	1	Hpa	0	0	0
P-G-G1-1	P-G-G1-1	GnoHpa	Generation_1	GnoHpa	NA	Phyllosphere	19.6	182543	0	Other	0	0	1
P-G-G1-10	P-G-G1-10	GnoHpa	Generation_1	GnoHpa	NA	Phyllosphere	24.7	157327	0	Other	0	0	1
P-G-G1-2	P-G-G1-2	GnoHpa	Generation_1	GnoHpa	NA	Phyllosphere	21.6	195090	0	Other	0	0	1
P-G-G1-3	P-G-G1-3	GnoHpa	Generation_1	GnoHpa	NA	Phyllosphere	25.4	205493	0	Other	0	0	1
P-G-G1-4	P-G-G1-4	GnoHpa	Generation_1	GnoHpa	NA	Phyllosphere	35.6	217203	0	Other	0	0	1
P-G-G1-5	P-G-G1-5	GnoHpa	Generation_1	GnoHpa	NA	Phyllosphere	29.8	219380	0	Other	0	0	1
P-G-G1-6	P-G-G1-6	GnoHpa	Generation_1	GnoHpa	NA	Phyllosphere	17.6	162236	0	Other	0	0	1
P-G-G1-7	P-G-G1-7	GnoHpa	Generation_1	GnoHpa	NA	Phyllosphere	31	193951	0	Other	0	0	1
P-G-G1-8	P-G-G1-8	GnoHpa	Generation_1	GnoHpa	NA	Phyllosphere	31	174537	0	Other	0	0	1
P-G-G1-9	P-G-G1-9	GnoHpa	Generation_1	GnoHpa	NA	Phyllosphere	23.2	183177	0	Other	0	0	1
P-GG-2-1	P-GG-2-1	GnoHpa_GnoHpa	Generation_2	GnoHpa	GnoHpa	Phyllosphere	24.4	147152	0	Other	0	0	1
P-GG-2-10	P-GG-2-10	GnoHpa_GnoHpa	Generation_2	GnoHpa	GnoHpa	Phyllosphere	22	170962	0	Other	0	0	1
P-GG-2-2	P-GG-2-2	GnoHpa_GnoHpa	Generation_2	GnoHpa	GnoHpa	Phyllosphere	30	177622	0	Other	0	0	1
P-GG-2-3	P-GG-2-3	GnoHpa_GnoHpa	Generation_2	GnoHpa	GnoHpa	Phyllosphere	29.4	198783	0	Other	0	0	1
P-GG-2-4	P-GG-2-4	GnoHpa_GnoHpa	Generation_2	GnoHpa	GnoHpa	Phyllosphere	27.2	202193	0	Other	0	0	1
P-GG-2-5	P-GG-2-5	GnoHpa_GnoHpa	Generation_2	GnoHpa	GnoHpa	Phyllosphere	23.6	185307	0	Other	0	0	1
P-GG-2-6	P-GG-2-6	GnoHpa_GnoHpa	Generation_2	GnoHpa	GnoHpa	Phyllosphere	21.5	197459	0	Other	0	0	1
P-GG-2-7	P-GG-2-7	GnoHpa_GnoHpa	Generation_2	GnoHpa	GnoHpa	Phyllosphere	20.1	210073	0	Other	0	0	1
P-GG-2-8	P-GG-2-8	GnoHpa_GnoHpa	Generation_2	GnoHpa	GnoHpa	Phyllosphere	26.2	219780	0	Other	0	0	1
P-GG-2-9	P-GG-2-9	GnoHpa_GnoHpa	Generation_2	GnoHpa	GnoHpa	Phyllosphere	21.8	216739	0	Other	0	0	1
P-GM-2-1	P-GM-2-1	GnoHpa_Mock	Generation_2	GnoHpa	Mock	Phyllosphere	26	207116	0	Other	0	0	1
P-GM-2-10	P-GM-2-10	GnoHpa_Mock	Generation_2	GnoHpa	Mock	Phyllosphere	25.6	179692	0	Other	0	0	1
P-GM-2-2	P-GM-2-2	GnoHpa_Mock	Generation_2	GnoHpa	Mock	Phyllosphere	30.8	193990	0	Other	0	0	1
P-GM-2-3	P-GM-2-3	GnoHpa_Mock	Generation_2	GnoHpa	Mock	Phyllosphere	21.3	134604	0	Other	0	0	1
P-GM-2-4	P-GM-2-4	GnoHpa_Mock	Generation_2	GnoHpa	Mock	Phyllosphere	14.7	209475	0	Other	0	0	1
P-GM-2-5	P-GM-2-5	GnoHpa_Mock	Generation_2	GnoHpa	Mock	Phyllosphere	20.3	188510	0	Other	0	0	1
P-GM-2-6	P-GM-2-6	GnoHpa_Mock	Generation_2	GnoHpa	Mock	Phyllosphere	14.7	175686	0	Other	0	0	1
P-GM-2-7	P-GM-2-7	GnoHpa_Mock	Generation_2	GnoHpa	Mock	Phyllosphere	32.6	209123	0	Other	0	0	1
P-GM-2-8	P-GM-2-8	GnoHpa_Mock	Generation_2	GnoHpa	Mock	Phyllosphere	22.9	188226	0	Other	0	0	1
P-GM-2-9	P-GM-2-9	GnoHpa_Mock	Generation_2	GnoHpa	Mock	Phyllosphere	19.9	165583	0	Other	0	0	1
P-GN-2-1	P-GN-2-1	GnoHpa_Hpa	Generation_2	GnoHpa	Hpa	Phyllosphere	46.6	195969	1	Hpa	1	0	1
P-GN-2-10	P-GN-2-10	GnoHpa_Hpa	Generation_2	GnoHpa	Hpa	Phyllosphere	22	153336	1	Hpa	1	0	1
P-GN-2-2	P-GN-2-2	GnoHpa_Hpa	Generation_2	GnoHpa	Hpa	Phyllosphere	24.4	201541	1	Hpa	1	0	1
P-GN-2-3	P-GN-2-3	GnoHpa_Hpa	Generation_2	GnoHpa	Hpa	Phyllosphere	17.9	188236	1	Hpa	1	0	1
